key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.performing-arts.oral-literature.storytelling,Storytelling,,Oral literature|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Storytelling
humanities.performing-arts.electronic-game,Electronic game,,Performing arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Electronic_game
humanities.performing-arts.electronic-game.arcade-game,Arcade game,,Electronic game|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Arcade_game
humanities.performing-arts.electronic-game.audio-game,Audio game,,Electronic game|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Audio_game
humanities.performing-arts.electronic-game.video-games,video games,,Electronic game|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Video_game
humanities.visual-arts,Visual arts,,Humanities|0,1,S,discipline,https://en.wikipedia.org/wiki/Outline_of_the_visual_arts
humanities.visual-arts.animation,Animation,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Animation
humanities.visual-arts.applied-arts,Applied arts,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Applied_arts
humanities.visual-arts.architecture,Architecture,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Architecture
humanities.visual-arts.architecture.interior-architecture,Interior architecture,,key:humanities.visual-arts.architecture|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Interior_architecture
humanities.visual-arts.architecture.landscape-architecture,Landscape architecture,,key:humanities.visual-arts.architecture|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Landscape_architecture
humanities.visual-arts.architecture.landscape-architecture.landscape-design,Landscape design,,key:humanities.visual-arts.architecture.landscape-architecture|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Landscape_design
humanities.visual-arts.architecture.landscape-architecture.landscape-planning,Landscape planning,,key:humanities.visual-arts.architecture.landscape-architecture|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Landscape_planning
