key,name,description,attached to,layer,type,url
social-science.political-science.military-sciences.other-military.paramilitary,Paramilitary,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Paramilitary
social-science.political-science.military-sciences.other-military.principles-of-war,Principles of war,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Principles_of_war
social-science.political-science.military-sciences.other-military.private-defense-agency,Private defense agency,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Private_defense_agency
social-science.political-science.military-sciences.other-military.private-military-company,Private military company,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Private_military_company
social-science.political-science.military-sciences.other-military.proxy-war,Proxy war,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Proxy_war
social-science.political-science.military-sciences.other-military.religious-war,Religious war,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Religious_war
social-science.political-science.military-sciences.other-military.security,Security,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Security
social-science.political-science.military-sciences.other-military.special-forces,Special forces,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Special_forces
social-science.political-science.military-sciences.other-military.special-operations,Special operations,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Special_operations
social-science.political-science.military-sciences.other-military.theater-warfare,Theater (warfare),,Other Military|0,6,S,https://en.wikipedia.org/wiki/Theater_(warfare)
social-science.political-science.military-sciences.other-military.theft,Theft,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Theft
social-science.political-science.military-sciences.other-military.undercover,Undercover,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Undercover_operation
social-science.political-science.military-sciences.other-military.war-crimes,War crimes,,Other Military|0,6,S,https://en.wikipedia.org/wiki/War_crime
social-science.political-science.military-sciences.other-military.warrior,Warrior,,Other Military|0,6,S,https://en.wikipedia.org/wiki/Warrior
social-science.political-science.public-policy.agricultural-policy,Agricultural policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Agricultural_policy
social-science.political-science.public-policy.commercial-policy,Commercial policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Commercial_policy
social-science.political-science.public-policy.cultural-policy,Cultural policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Cultural_policy
social-science.political-science.public-policy.domestic-policy,Domestic policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Domestic_policy
social-science.political-science.public-policy.drug-policy,Drug policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Drug_policy
social-science.political-science.public-policy.drug-policy.drug-policy-reform,Drug policy reform,,Drug policy|0,6,S,https://en.wikipedia.org/wiki/Drug_policy_reform
