topicID,urlNr,url
CSL1,1,https://en.wikipedia.org/wiki/Cosmology
CRI2,1,https://en.wikipedia.org/wiki/Criminology
CRY2,1,https://en.wikipedia.org/wiki/Cryobiology
CRY3,1,https://en.wikipedia.org/wiki/Cryptography
CYN1,1,https://en.wikipedia.org/wiki/Cynology
CYT1,1,https://en.wikipedia.org/wiki/Cytology
DAS1,1,https://en.wikipedia.org/wiki/Data_science
DEN1,1,https://en.wikipedia.org/wiki/Dentistry
DIA1,1,https://en.wikipedia.org/wiki/Dialectology
DIO1,1,https://en.wikipedia.org/wiki/Dioptrics
DYN1,1,https://en.wikipedia.org/wiki/Dynamics_(mechanics)
DYS1,1,https://en.wikipedia.org/wiki/Dysgenics
ECO1,1,https://en.wikipedia.org/wiki/Ecology
ECO0,1,https://en.wikipedia.org/wiki/Economics
EDA1,1,https://en.wikipedia.org/wiki/Edaphology
ELE1,1,https://en.wikipedia.org/wiki/Electrical_engineering
ELC1,1,https://en.wikipedia.org/wiki/Electrochemistry
END1,1,https://en.wikipedia.org/wiki/Endocrinology
ENE1,1,https://en.wikipedia.org/wiki/Energetics_(disambiguation)
ENS1,1,https://en.wikipedia.org/wiki/Engineering_studies
ENT1,1,https://en.wikipedia.org/wiki/Entomology
ENZ1,1,https://en.wikipedia.org/wiki/Enzymology
EPI1,1,https://en.wikipedia.org/wiki/Epidemiology
ETH2,1,https://en.wikipedia.org/wiki/Ethology
ETY1,1,https://en.wikipedia.org/wiki/Etymology
EVB1,1,https://en.wikipedia.org/wiki/Evolutionary_biology
EXO1,1,https://en.wikipedia.org/wiki/Exobiology
FDY1,1,https://en.wikipedia.org/wiki/Fluid_dynamics
FLM1,1,https://en.wikipedia.org/wiki/Fluid_mechanics
FUT1,1,https://en.wikipedia.org/wiki/Futurology
GEM1,1,https://en.wikipedia.org/wiki/Gemmology
GES1,1,https://en.wikipedia.org/wiki/Gender_Studies
GOC1,1,https://en.wikipedia.org/wiki/Geochemistry
GOC2,1,https://en.wikipedia.org/wiki/Geochronology
GOD1,1,https://en.wikipedia.org/wiki/Geodesy
GML1,1,https://en.wikipedia.org/wiki/Geomorphology
GOP1,1,https://en.wikipedia.org/wiki/Geophysics
GOP2,1,https://en.wikipedia.org/wiki/Geoponics
GOT1,1,https://en.wikipedia.org/wiki/Geotechnics
GER1,1,https://en.wikipedia.org/wiki/Gerontology
GNO1,1,https://en.wikipedia.org/wiki/Gnotobiology
GRM1,1,https://en.wikipedia.org/wiki/Graminology
GRP1,1,https://en.wikipedia.org/wiki/Graphology
GYN1,1,https://en.wikipedia.org/wiki/Gynaecology
HAR1,1,https://en.wikipedia.org/wiki/Harmonics
HLL1,1,https://en.wikipedia.org/wiki/Heliology
HLS1,1,https://en.wikipedia.org/wiki/Helioseismology
HEP1,1,https://en.wikipedia.org/wiki/Hepatology
HER1,1,https://en.wikipedia.org/wiki/Heraldry
HER2,1,https://en.wikipedia.org/wiki/Heredity
HER3,1,https://en.wikipedia.org/wiki/Herpetology
HIP1,1,https://en.wikipedia.org/wiki/Hippology
HOS1,1,https://en.wikipedia.org/wiki/History_of_science
HOT1,1,https://en.wikipedia.org/wiki/History_of_technology
HOR2,1,https://en.wikipedia.org/wiki/Horology
HLO1,1,https://en.wikipedia.org/wiki/Hydrology
HYG1,1,https://en.wikipedia.org/wiki/Hygrometry
HYG2,1,https://en.wikipedia.org/wiki/Hygroscopy
ICH1,1,https://en.wikipedia.org/wiki/Ichthyology
ICO1,1,https://en.wikipedia.org/wiki/Iconology
IML1,1,https://en.wikipedia.org/wiki/Immunology
ITE1,1,https://en.wikipedia.org/wiki/Information_technology
KAL1,1,https://en.wikipedia.org/wiki/Kalology
LEX1,1,https://en.wikipedia.org/wiki/Lexicology
LIM1,1,https://en.wikipedia.org/wiki/Limacology
MAL1,1,https://en.wikipedia.org/wiki/Malacology
MAM1,1,https://en.wikipedia.org/wiki/Mammalogy
MEE1,1,https://en.wikipedia.org/wiki/Mechanical_engineering
MIM1,1,https://en.wikipedia.org/wiki/Medical_imaging
MEL1,1,https://en.wikipedia.org/wiki/Melissopalynology
MLL1,1,https://en.wikipedia.org/wiki/Metallogeny
MLL2,1,https://en.wikipedia.org/wiki/Metallurgy
MSC1,1,https://en.wikipedia.org/wiki/Metascience
MTR1,1,https://en.wikipedia.org/wiki/Meteoritics
MTR2,1,https://en.wikipedia.org/wiki/Meteorology
