channelID,videoID0,title,custom_url,channel_id
## Linguistics / Literature
### Linguistics
762,762000,Language Jones,@languagejones,UCVwfqPkv08OTuHzkPU3EaDw
760,760000,Graham Amscheper,@grahamamscheper,UCSd7OM0r5LPkb4Rcp-wlK9g

### Historical Linguistics
761,761000,Jackson Crawford,@JacksonCrawford,UCXCxNFxw6iq-Mh4uIjYvufg

### Literature
,,Bookfox,@Bookfox,UCWp90fsJtx4BScXsxRoCMoA

## Philosophy / Ethics
,,Explains A Lot,@ExplainsALott,UCV1JOfvbeyKaHGiVqdwg4dA
,,Jamie Social,@JamieSocial,UC7IZjtoKFmgE4f2UnWBUjaA

### Academic Philosophy
790,790000,Prof. Jeffrey Kaplan,@profjeffreykaplan,UC_hukbByJP7OZ3Xm2tszacQ

### Ethics / Applied Ethics
,,Unsolicited advice,@unsolicitedadvice9198,UCW71hQg1kDxmFIfijA8dL0Q

### Logic (placeholder)

## Political Science / Law
### Political Theory (placeholder)

### Law (Constitutional / Criminal / Civil) (placeholder)

# Arts
## Music Theory / Music Technology
,,Cadence Hira,@CadenceHira,UCR1ATYyCJML6dxqgQhwIKZg

### Composition / Analysis / Advanced Theory
791,791000,Samuel Andreyev,@samuel_andreyev,UCI_dcH8Zr2UqNT1EqvMNgTg

### Audio Engineering / Music Technology
731,731000,Benn Jordan,@BennJordan,UCshObcm-nLhbu8MY50EZ5Ng

### Music Production (placeholder)

### Ethnomusicology (placeholder)

# Other
## Other
### Miscellaneous (placeholder)
